No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,UTAMA
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,2.755.125.000,PENGEMBANGAN
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,PENGEMBANGAN
4,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,UTAMA
5,ACES,Ace Hardware Indonesia Tbk.,06 Nov 2007,17.150.000.000,UTAMA
6,ACST,Acset Indonusa Tbk.,24 Jun 2013,700.000.000,UTAMA
7,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,PENGEMBANGAN
8,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,3.560.849.376,UTAMA
9,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.000.000.000,UTAMA
10,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,UTAMA
11,ADRO,Adaro Energy Tbk.,16 Jul 2008,31.985.962.000,UTAMA
12,AGII,Aneka Gas Industri Tbk.,28 Sep 2016,3.066.660.000
13,AGRO,Bank Rakyat Indonesia Agroniag,08 Ags 2003,21.129.857.328,UTAMA
14,AGRS,Bank Agris Tbk.,22 Des 2014,5.203.614.878,PENGEMBANGAN
15,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,2.940.000.000,PENGEMBANGAN
16,AIMS,Akbar Indo Makmur Stimec Tbk,20 Jul 2001,220.000.000,PENGEMBANGAN
17,AISA,Tiga Pilar Sejahtera Food Tbk.,11 Jun 1997,3.218.600.000,UTAMA
18,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,PENGEMBANGAN
19,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,680.000.000,PENGEMBANGAN
20,AKRA,AKR Corporindo Tbk.,03 Okt 1994,4.014.694.920,UTAMA
